image_name,blur_score,brightness,contrast,width,height,resolution,grade
img_1267.jpg,2573.94,133.39,45.65,800,600,480000,B
img_1268.jpg,2310.21,94.62,49.56,800,599,479200,B
img_1269.jpg,737.29,121.29,50.74,800,600,480000,B
img_127.jpg,906.32,141.8,52.36,800,1062,849600,B
img_1270.jpg,988.33,139.06,58.68,800,1062,849600,B
img_1271.jpg,261.68,123.63,58.54,800,1066,852800,C
img_1272.jpg,715.03,142.66,59.05,800,600,480000,B
img_1273.jpg,133.55,142.75,46.01,800,800,640000,D
img_1274.jpg,76.24,136.43,53.15,800,1066,852800,D
img_1275.jpg,999.97,129.95,58.75,800,600,480000,B
img_1276.jpg,476.51,131.89,41.61,800,1066,852800,C
img_1277.jpg,113.5,79.71,53.89,800,600,480000,D
img_1278.jpg,2214.61,136.12,56.39,800,600,480000,A
img_1279.jpg,16727.84,120.66,59.54,800,600,480000,A
img_128.jpg,567.09,113.32,69.61,800,600,480000,B
img_1280.jpg,1225.22,118.44,36.77,800,600,480000,C
img_1281.jpg,772.54,127.8,78.92,800,600,480000,B
img_1282.jpg,946.46,123.74,53.07,800,600,480000,B
img_1283.jpg,220.3,120.01,55.5,800,600,480000,C
img_1284.jpg,312.46,128.37,44.89,800,1066,852800,C
img_1285.jpg,963.93,112.73,54.61,800,599,479200,B
img_1286.jpg,1975.68,111.09,59.87,800,600,480000,A
img_1287.jpg,499.03,128.34,62.24,800,600,480000,C
img_1288.jpg,864.94,109.47,62.37,800,600,480000,B
img_1289.jpg,121.44,145.09,48.83,800,600,480000,D
img_129.jpg,527.81,119.59,66.98,800,1062,849600,B
img_1290.jpg,1309.63,156.33,59.56,800,1066,852800,A
img_1291.jpg,1197.86,143.35,38.67,800,600,480000,C
img_1292.jpg,355.0,112.0,41.01,800,600,480000,C
img_1293.jpg,436.78,124.66,56.45,800,1066,852800,C
img_1294.jpg,1648.48,155.85,55.01,800,800,640000,A
img_1295.jpg,1103.38,108.74,47.79,800,599,479200,B
img_1296.jpg,44.57,128.75,52.74,800,600,480000,D
img_1297.jpg,4425.32,114.29,51.08,800,600,480000,A
img_1298.jpg,618.41,106.49,44.23,800,600,480000,B
img_1299.jpg,397.89,110.48,70.9,800,600,480000,C
img_13.jpg,1475.84,133.1,40.89,800,600,480000,B
img_130.jpg,148.8,143.98,44.99,800,599,479200,D
img_1300.jpg,187.69,122.3,44.09,800,600,480000,D
img_1301.jpg,3338.27,126.08,50.91,800,600,480000,A
img_1302.jpg,1945.45,131.85,51.71,800,600,480000,A
img_1303.jpg,566.14,101.01,58.32,800,599,479200,B
img_1304.jpg,2771.85,124.27,43.85,800,600,480000,B
img_1305.jpg,266.44,124.67,45.27,800,600,480000,C
img_1306.jpg,1762.77,137.91,57.21,800,600,480000,A
img_1307.jpg,1803.18,136.89,40.9,800,600,480000,B
img_1308.jpg,3402.35,111.89,67.0,800,600,480000,A
img_1309.jpg,14885.38,124.19,72.86,800,600,480000,A
img_131.jpg,2108.8,118.89,56.62,800,600,480000,A
img_1310.jpg,258.89,112.1,47.31,800,599,479200,C
img_1311.jpg,2738.85,115.98,56.78,800,600,480000,A
img_1312.jpg,1385.7,153.89,52.13,800,600,480000,A
img_1313.jpg,1814.99,119.99,81.31,800,600,480000,A
img_1314.jpg,20199.06,115.18,60.11,800,600,480000,A
img_1315.jpg,1552.94,131.66,60.13,800,600,480000,A
img_1316.jpg,241.5,105.13,59.22,800,600,480000,C
img_1317.jpg,821.58,136.87,48.94,800,600,480000,B
img_1318.jpg,732.59,152.52,52.23,800,1066,852800,B
img_1319.jpg,2806.58,98.58,70.52,800,600,480000,A
img_132.jpg,483.23,171.4,48.95,800,600,480000,C
img_1320.jpg,1069.64,109.7,40.49,800,600,480000,B
img_1321.jpg,414.79,140.84,39.6,800,1066,852800,C
img_1322.jpg,264.89,130.06,54.55,800,1066,852800,C
img_1323.jpg,70.94,157.73,57.25,800,599,479200,D
img_1324.jpg,3193.14,115.8,69.51,800,600,480000,A
img_1325.jpg,2171.33,121.87,52.92,800,1062,849600,A
img_1326.jpg,489.48,141.92,60.04,800,600,480000,C
img_1327.jpg,846.81,106.04,51.37,800,600,480000,B
img_1328.jpg,2264.87,141.87,51.14,800,600,480000,A
img_1329.jpg,1561.27,125.41,52.45,800,600,480000,A
img_133.jpg,92.35,139.7,67.98,800,600,480000,D
img_1330.jpg,3274.05,114.99,64.61,800,600,480000,A
img_1331.jpg,476.63,147.8,49.63,800,600,480000,C
img_1332.jpg,3199.81,80.15,44.19,800,600,480000,B
img_1333.jpg,143.28,124.87,42.18,800,600,480000,D
img_1334.jpg,4364.47,102.91,57.25,800,600,480000,A
img_1335.jpg,19164.31,102.81,58.83,800,600,480000,A
img_1336.jpg,633.46,115.22,56.24,800,600,480000,B
img_1337.jpg,2764.18,117.86,55.46,800,600,480000,A
img_1338.jpg,3871.41,113.49,60.4,800,600,480000,A
img_1339.jpg,599.43,122.76,80.05,800,600,480000,B
img_134.jpg,159.39,102.71,53.55,800,600,480000,D
img_1340.jpg,138.57,79.87,43.46,800,600,480000,D
